frame_idx,timestamp,gesture
0,00:00:000,0
1,00:00:033,0
2,00:00:067,0
3,00:00:100,0
4,00:00:134,0
5,00:00:167,0
6,00:00:201,0
7,00:00:234,0
8,00:00:268,0
9,00:00:301,0
10,00:00:335,0
11,00:00:368,0
12,00:00:402,0
13,00:00:435,0
14,00:00:469,0
15,00:00:502,0
16,00:00:536,0
17,00:00:569,0
18,00:00:603,0
19,00:00:636,0
20,00:00:670,0
21,00:00:703,0
22,00:00:737,0
23,00:00:770,0
24,00:00:804,0
25,00:00:837,0
26,00:00:871,0
27,00:00:904,0
28,00:00:938,0
29,00:00:971,0
30,00:01:005,0
31,00:01:038,0
32,00:01:072,0
33,00:01:105,0
34,00:01:139,0
35,00:01:172,0
36,00:01:206,0
37,00:01:239,0
38,00:01:273,0
39,00:01:306,0
40,00:01:340,0
41,00:01:373,0
42,00:01:407,0
43,00:01:440,0
44,00:01:474,0
45,00:01:507,0
46,00:01:541,0
47,00:01:574,0
48,00:01:608,0
49,00:01:641,0
50,00:01:675,0
51,00:01:708,0
52,00:01:742,0
53,00:01:775,0
54,00:01:809,0
55,00:01:842,0
56,00:01:876,0
57,00:01:909,0
58,00:01:943,0
59,00:01:976,0
60,00:02:010,0
61,00:02:043,0
62,00:02:077,0
63,00:02:110,0
64,00:02:144,0
65,00:02:177,0
66,00:02:211,0
67,00:02:244,0
68,00:02:278,0
69,00:02:311,0
70,00:02:345,0
71,00:02:379,0
72,00:02:412,0
73,00:02:446,0
74,00:02:479,0
75,00:02:513,0
76,00:02:546,0
77,00:02:580,0
78,00:02:613,0
79,00:02:647,0
80,00:02:680,0
81,00:02:714,0
82,00:02:747,0
83,00:02:781,0
84,00:02:814,0
85,00:02:848,0
86,00:02:881,0
87,00:02:915,0
88,00:02:948,0
89,00:02:982,0
90,00:03:015,0
91,00:03:049,0
92,00:03:082,0
93,00:03:116,0
94,00:03:149,0
95,00:03:183,0
96,00:03:216,0
97,00:03:250,0
98,00:03:283,0
99,00:03:317,0
100,00:03:350,0
101,00:03:384,0
102,00:03:417,0
103,00:03:451,0
104,00:03:484,0
105,00:03:518,0
106,00:03:551,0
107,00:03:585,0
108,00:03:618,0
109,00:03:652,0
110,00:03:685,0
111,00:03:719,0
112,00:03:752,0
113,00:03:786,0
114,00:03:819,0
115,00:03:853,0
116,00:03:886,0
117,00:03:920,0
118,00:03:953,0
119,00:03:987,0
120,00:04:020,0
121,00:04:054,0
122,00:04:087,0
123,00:04:121,0
124,00:04:154,0
125,00:04:188,0
126,00:04:221,0
127,00:04:255,0
128,00:04:288,0
129,00:04:322,0
130,00:04:355,0
131,00:04:389,0
132,00:04:422,0
133,00:04:456,0
134,00:04:489,0
135,00:04:523,0
136,00:04:556,0
137,00:04:590,0
138,00:04:623,0
139,00:04:657,0
140,00:04:691,0
141,00:04:724,0
142,00:04:758,0
143,00:04:791,0
144,00:04:825,0
145,00:04:858,0
146,00:04:892,0
147,00:04:925,0
148,00:04:959,0
149,00:04:992,0
150,00:05:026,0
151,00:05:059,0
152,00:05:093,0
153,00:05:126,0
154,00:05:160,0
155,00:05:193,0
156,00:05:227,0
157,00:05:260,0
158,00:05:294,0
159,00:05:327,0
160,00:05:361,0
161,00:05:394,0
162,00:05:428,0
163,00:05:461,0
164,00:05:495,0
165,00:05:528,0
166,00:05:562,0
167,00:05:595,0
168,00:05:629,0
169,00:05:662,0
170,00:05:696,0
171,00:05:729,0
172,00:05:763,0
173,00:05:796,0
174,00:05:830,0
175,00:05:863,0
176,00:05:897,0
177,00:05:930,0
178,00:05:964,0
179,00:05:997,0
180,00:06:031,0
181,00:06:064,0
182,00:06:098,0
183,00:06:131,0
184,00:06:165,0
185,00:06:198,0
186,00:06:232,0
187,00:06:265,0
188,00:06:299,0
189,00:06:332,0
190,00:06:366,0
191,00:06:399,0
192,00:06:433,0
193,00:06:466,0
194,00:06:500,0
195,00:06:533,0
196,00:06:567,0
197,00:06:600,0
198,00:06:634,0
199,00:06:667,0
200,00:06:701,0
201,00:06:734,0
202,00:06:768,0
203,00:06:801,0
204,00:06:835,0
205,00:06:868,0
206,00:06:902,0
207,00:06:935,0
208,00:06:969,0
209,00:07:002,0
210,00:07:036,0
211,00:07:070,0
212,00:07:103,0
213,00:07:137,0
214,00:07:170,0
215,00:07:204,0
216,00:07:237,0
217,00:07:271,0
218,00:07:304,0
219,00:07:338,0
220,00:07:371,0
221,00:07:405,0
222,00:07:438,0
223,00:07:472,0
224,00:07:505,0
225,00:07:539,0
226,00:07:572,0
227,00:07:606,0
228,00:07:639,0
229,00:07:673,0
230,00:07:706,0
231,00:07:740,0
232,00:07:773,0
233,00:07:807,0
234,00:07:840,0
235,00:07:874,0
236,00:07:907,0
237,00:07:941,0
238,00:07:974,0
239,00:08:008,0
240,00:08:041,0
241,00:08:075,0
242,00:08:108,0
243,00:08:142,0
244,00:08:175,0
245,00:08:209,0
246,00:08:242,0
247,00:08:276,0
248,00:08:309,0
249,00:08:343,0
250,00:08:376,0
251,00:08:410,0
252,00:08:443,0
253,00:08:477,0
254,00:08:510,0
255,00:08:544,0
256,00:08:577,0
257,00:08:611,0
258,00:08:644,0
259,00:08:678,0
260,00:08:711,0
261,00:08:745,0
262,00:08:778,0
263,00:08:812,0
264,00:08:845,0
265,00:08:879,0
266,00:08:912,0
267,00:08:946,0
268,00:08:979,0
269,00:09:013,0
270,00:09:046,0
271,00:09:080,0
272,00:09:113,0
273,00:09:147,0
274,00:09:180,0
275,00:09:214,0
276,00:09:247,0
277,00:09:281,0
278,00:09:314,0
279,00:09:348,0
280,00:09:382,0
281,00:09:415,0
282,00:09:449,0
283,00:09:482,0
284,00:09:516,0
285,00:09:549,0
286,00:09:583,0
287,00:09:616,0
288,00:09:650,0
289,00:09:683,0
290,00:09:717,0
291,00:09:750,0
292,00:09:784,0
293,00:09:817,0
294,00:09:851,0
295,00:09:884,0
296,00:09:918,0
297,00:09:951,0
298,00:09:985,0
299,00:10:018,0
300,00:10:052,0
301,00:10:085,0
302,00:10:119,0
303,00:10:152,0
304,00:10:186,0
305,00:10:219,0
306,00:10:253,0
307,00:10:286,0
308,00:10:320,0
309,00:10:353,0
310,00:10:387,0
311,00:10:420,0
312,00:10:454,0
313,00:10:487,0
314,00:10:521,0
315,00:10:554,0
316,00:10:588,0
317,00:10:621,0
318,00:10:655,0
319,00:10:688,0
320,00:10:722,0
321,00:10:755,0
322,00:10:789,0
323,00:10:822,0
324,00:10:856,0
325,00:10:889,0
326,00:10:923,0
327,00:10:956,0
328,00:10:990,0
329,00:11:023,0
330,00:11:057,0
331,00:11:090,0
332,00:11:124,0
333,00:11:157,0
334,00:11:191,0
335,00:11:224,0
336,00:11:258,0
337,00:11:291,0
338,00:11:325,0
339,00:11:358,0
340,00:11:392,0
341,00:11:425,0
342,00:11:459,0
343,00:11:492,0
344,00:11:526,0
345,00:11:559,0
346,00:11:593,0
347,00:11:626,0
348,00:11:660,0
349,00:11:694,0
350,00:11:727,0
351,00:11:761,0
352,00:11:794,0
353,00:11:828,0
354,00:11:861,0
355,00:11:895,0
356,00:11:928,0
357,00:11:962,0
358,00:11:995,0
359,00:12:029,0
360,00:12:062,0
361,00:12:096,0
362,00:12:129,0
363,00:12:163,0
364,00:12:196,0
365,00:12:230,0
366,00:12:263,0
367,00:12:297,0
368,00:12:330,0
369,00:12:364,0
370,00:12:397,0
371,00:12:431,0
372,00:12:464,0
373,00:12:498,0
374,00:12:531,0
375,00:12:565,0
376,00:12:598,0
377,00:12:632,0
378,00:12:665,0
379,00:12:699,0
380,00:12:732,0
381,00:12:766,0
382,00:12:799,0
383,00:12:833,0
384,00:12:866,0
385,00:12:900,0
386,00:12:933,0
387,00:12:967,0
388,00:13:000,0
389,00:13:034,0
390,00:13:067,0
391,00:13:101,0
392,00:13:134,0
393,00:13:168,0
394,00:13:201,0
395,00:13:235,0
396,00:13:268,0
397,00:13:302,0
398,00:13:335,0
399,00:13:369,0
400,00:13:402,0
401,00:13:436,0
402,00:13:469,0
403,00:13:503,0
404,00:13:536,0
405,00:13:570,0
406,00:13:603,0
407,00:13:637,0
408,00:13:670,0
409,00:13:704,0
410,00:13:737,0
411,00:13:771,0
412,00:13:804,0
413,00:13:838,0
414,00:13:871,0
415,00:13:905,0
416,00:13:938,0
417,00:13:972,0
418,00:14:005,0
419,00:14:039,0
420,00:14:073,0
421,00:14:106,0
422,00:14:140,0
423,00:14:173,0
424,00:14:207,0
425,00:14:240,0
426,00:14:274,0
427,00:14:307,0
428,00:14:341,0
429,00:14:374,0
430,00:14:408,0
431,00:14:441,0
432,00:14:475,0
433,00:14:508,0
434,00:14:542,0
435,00:14:575,0
436,00:14:609,0
437,00:14:642,0
438,00:14:676,0
439,00:14:709,0
440,00:14:743,0
441,00:14:776,0
442,00:14:810,0
443,00:14:843,0
444,00:14:877,0
445,00:14:910,0
446,00:14:944,0
447,00:14:977,0
448,00:15:011,0
449,00:15:044,0
450,00:15:078,0
451,00:15:111,0
452,00:15:145,0
453,00:15:178,0
454,00:15:212,0
455,00:15:245,0
456,00:15:279,0
457,00:15:312,0
458,00:15:346,0
459,00:15:379,0
460,00:15:413,0
461,00:15:446,0
462,00:15:480,0
463,00:15:513,0
464,00:15:547,0
465,00:15:580,0
466,00:15:614,0
467,00:15:647,0
468,00:15:681,0
469,00:15:714,0
470,00:15:748,0
471,00:15:781,0
472,00:15:815,0
473,00:15:848,0
474,00:15:882,0
475,00:15:915,0
476,00:15:949,0
477,00:15:982,0
478,00:16:016,0
479,00:16:049,0
480,00:16:083,0
481,00:16:116,0
482,00:16:150,0
483,00:16:183,0
484,00:16:217,0
485,00:16:250,0
486,00:16:284,0
487,00:16:317,0
488,00:16:351,0
489,00:16:385,0
490,00:16:418,0
491,00:16:452,0
492,00:16:485,0
493,00:16:519,0
494,00:16:552,0
495,00:16:586,0
496,00:16:619,0
497,00:16:653,0
498,00:16:686,0
499,00:16:720,0
500,00:16:753,0
501,00:16:787,0
502,00:16:820,0
503,00:16:854,0
504,00:16:887,0
505,00:16:921,0
506,00:16:954,0
507,00:16:988,0
508,00:17:021,0
509,00:17:055,0
510,00:17:088,0
511,00:17:122,0
512,00:17:155,0
513,00:17:189,0
514,00:17:222,0
515,00:17:256,0
516,00:17:289,0
517,00:17:323,0
518,00:17:356,0
519,00:17:390,0
520,00:17:423,0
521,00:17:457,0
522,00:17:490,0
523,00:17:524,0
524,00:17:557,0
525,00:17:591,0
526,00:17:624,0
527,00:17:658,0
528,00:17:691,0
529,00:17:725,0
530,00:17:758,0
531,00:17:792,0
532,00:17:825,0
533,00:17:859,0
534,00:17:892,0
535,00:17:926,0
536,00:17:959,0
537,00:17:993,0
538,00:18:026,0
539,00:18:060,0
540,00:18:093,0
541,00:18:127,0
542,00:18:160,0
543,00:18:194,0
544,00:18:227,0
545,00:18:261,0
546,00:18:294,0
547,00:18:328,0
548,00:18:361,0
549,00:18:395,0
550,00:18:428,0
551,00:18:462,0
552,00:18:495,0
553,00:18:529,0
554,00:18:562,0
555,00:18:596,0
556,00:18:629,0
557,00:18:663,0
558,00:18:697,0
559,00:18:730,0
560,00:18:764,0
561,00:18:797,0
562,00:18:831,0
563,00:18:864,0
564,00:18:898,0
565,00:18:931,0
566,00:18:965,0
567,00:18:998,0
568,00:19:032,0
569,00:19:065,0
570,00:19:099,0
571,00:19:132,0
572,00:19:166,0
573,00:19:199,0
574,00:19:233,0
575,00:19:266,0
576,00:19:300,0
577,00:19:333,0
578,00:19:367,0
579,00:19:400,0
580,00:19:434,0
581,00:19:467,0
582,00:19:501,0
583,00:19:534,0
584,00:19:568,0
585,00:19:601,0
586,00:19:635,0
587,00:19:668,0
588,00:19:702,0
589,00:19:735,0
590,00:19:769,0
591,00:19:802,0
592,00:19:836,0
593,00:19:869,0
594,00:19:903,0
595,00:19:936,0
596,00:19:970,0
597,00:20:003,0
598,00:20:037,0
599,00:20:070,0
600,00:20:104,0
601,00:20:137,0
602,00:20:171,0
603,00:20:204,0
604,00:20:238,0
605,00:20:271,0
606,00:20:305,0
607,00:20:338,0
608,00:20:372,0
609,00:20:405,0
610,00:20:439,0
611,00:20:472,0
612,00:20:506,0
613,00:20:539,0
614,00:20:573,0
615,00:20:606,0
616,00:20:640,0
617,00:20:673,0
618,00:20:707,0
619,00:20:740,0
620,00:20:774,0
621,00:20:807,0
622,00:20:841,0
623,00:20:874,0
624,00:20:908,0
625,00:20:941,0
626,00:20:975,0
627,00:21:008,0
628,00:21:042,0
629,00:21:076,0
630,00:21:109,0
631,00:21:143,0
632,00:21:176,0
633,00:21:210,0
634,00:21:243,0
635,00:21:277,0
636,00:21:310,0
637,00:21:344,0
638,00:21:377,0
639,00:21:411,0
640,00:21:444,0
641,00:21:478,0
642,00:21:511,0
643,00:21:545,0
644,00:21:578,0
645,00:21:612,0
646,00:21:645,0
647,00:21:679,0
648,00:21:712,0
649,00:21:746,0
650,00:21:779,0
651,00:21:813,0
652,00:21:846,0
653,00:21:880,0
654,00:21:913,0
655,00:21:947,0
656,00:21:980,0
657,00:22:014,0
658,00:22:047,0
659,00:22:081,0
660,00:22:114,0
661,00:22:148,0
662,00:22:181,0
663,00:22:215,0
664,00:22:248,0
665,00:22:282,0
666,00:22:315,0
667,00:22:349,0
668,00:22:382,0
669,00:22:416,0
670,00:22:449,0
671,00:22:483,0
672,00:22:516,0
673,00:22:550,0
674,00:22:583,0
675,00:22:617,0
676,00:22:650,0
677,00:22:684,0
678,00:22:717,0
679,00:22:751,0
680,00:22:784,0
681,00:22:818,0
682,00:22:851,0
683,00:22:885,0
684,00:22:918,0
685,00:22:952,0
686,00:22:985,0
687,00:23:019,0
688,00:23:052,0
689,00:23:086,0
690,00:23:119,0
691,00:23:153,0
692,00:23:186,0
693,00:23:220,0
694,00:23:253,0
695,00:23:287,0
696,00:23:320,0
697,00:23:354,0
698,00:23:388,0
699,00:23:421,0
700,00:23:455,0
701,00:23:488,0
702,00:23:522,0
703,00:23:555,0
704,00:23:589,0
705,00:23:622,0
706,00:23:656,0
707,00:23:689,0
708,00:23:723,0
709,00:23:756,0
710,00:23:790,0
711,00:23:823,0
712,00:23:857,0
713,00:23:890,0
714,00:23:924,0
715,00:23:957,0
716,00:23:991,0
717,00:24:024,0
718,00:24:058,0
719,00:24:091,0
720,00:24:125,0
721,00:24:158,0
722,00:24:192,0
723,00:24:225,0
724,00:24:259,0
725,00:24:292,0
726,00:24:326,0
727,00:24:359,0
728,00:24:393,0
729,00:24:426,0
730,00:24:460,0
731,00:24:493,0
732,00:24:527,0
733,00:24:560,0
734,00:24:594,0
735,00:24:627,0
736,00:24:661,0
737,00:24:694,0
738,00:24:728,0
739,00:24:761,0
740,00:24:795,0
741,00:24:828,0
742,00:24:862,0
743,00:24:895,0
744,00:24:929,0
745,00:24:962,0
746,00:24:996,0
747,00:25:029,0
748,00:25:063,0
749,00:25:096,0
750,00:25:130,0
751,00:25:163,0
752,00:25:197,0
753,00:25:230,0
754,00:25:264,0
755,00:25:297,0
756,00:25:331,0
757,00:25:364,0
758,00:25:398,0
759,00:25:431,0
