frame_idx,timestamp,gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0,00:00:000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00:00:033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,00:00:066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,00:00:100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,00:00:133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,00:00:166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,00:00:200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,00:00:233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,00:00:266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,00:00:300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,00:00:333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,00:00:366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,00:00:400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,00:00:433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,00:00:466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,00:00:500,,0.2294052243232727,0.8497839570045471,6.694500598314335e-08,0.21059879660606384,0.8128957748413086,-0.029822899028658867,0.18287688493728638,0.812934398651123,-0.04624209180474281,0.16608497500419617,0.8535459637641907,-0.06017874553799629,0.1614810824394226,0.9102213382720947,-0.07370403409004211,0.12076792120933533,0.8683838844299316,-0.027556313201785088,0.08546807616949081,0.9103014469146729,-0.043659575283527374,0.06442992389202118,0.9435468912124634,-0.056812211871147156,0.045904867351055145,0.971427321434021,-0.06756758689880371,0.12882554531097412,0.9025198221206665,-0.025124527513980865,0.09413700550794601,0.9466316103935242,-0.04639800637960434,0.10095235705375671,0.9380261301994324,-0.05895378068089485,0.1093440130352974,0.9239681959152222,-0.06500981748104095,0.14620113372802734,0.9256291389465332,-0.02515801228582859,0.11894316971302032,0.9659850597381592,-0.045691490173339844,0.1320313662290573,0.9469261765480042,-0.048573169857263565,0.14620639383792877,0.9254453778266907,-0.047256309539079666,0.1688469499349594,0.9379744529724121,-0.027959035709500313,0.15203027427196503,0.9618050456047058,-0.04430200159549713,0.15885119140148163,0.9454293251037598,-0.045601941645145416,0.16945146024227142,0.9252200126647949,-0.044142965227365494
16,00:00:533,,0.25795984268188477,0.8641425371170044,-1.1498500818163393e-08,0.2126649022102356,0.8912698030471802,-0.0075051449239254,0.17097537219524384,0.8984898924827576,-0.01792946271598339,0.15322469174861908,0.8709622025489807,-0.029782507568597794,0.14647126197814941,0.8378007411956787,-0.042054664343595505,0.13526101410388947,0.8616554737091064,-0.016616221517324448,0.10538586974143982,0.8644508123397827,-0.0353180430829525,0.08677084743976593,0.8806593418121338,-0.05114006623625755,0.07438769936561584,0.9023103713989258,-0.06303804367780685,0.15325771272182465,0.8374291062355042,-0.025898350402712822,0.1296166330575943,0.8188029527664185,-0.04782228544354439,0.13432641327381134,0.8104780316352844,-0.05876445397734642,0.14030799269676208,0.8145112991333008,-0.06443265080451965,0.17904776334762573,0.81949383020401,-0.03622528165578842,0.1666630506515503,0.799849808216095,-0.05292249843478203,0.17318718135356903,0.7975342869758606,-0.05298546701669693,0.17868824303150177,0.8096703290939331,-0.05160178989171982,0.21023908257484436,0.8034027218818665,-0.04789729416370392,0.2047692984342575,0.7834241390228271,-0.05700744688510895,0.20996803045272827,0.788042426109314,-0.05345485359430313,0.21427030861377716,0.8049137592315674,-0.05054282397031784
