frame_idx,timestamp,gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0,00:00:000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00:00:033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,00:00:066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,00:00:100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,00:00:133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,00:00:166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,00:00:200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,00:00:233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,00:00:266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,00:00:300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,00:00:333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,00:00:366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,00:00:400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,00:00:433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,00:00:466,,0.061514437198638916,0.701949954032898,-1.4720436070092546e-07,0.10264117270708084,0.7743364572525024,-0.0535905621945858,0.11414719372987747,0.8888886570930481,-0.08211948722600937,0.11721693724393845,0.9947866201400757,-0.0991416797041893,0.12251316756010056,1.081058382987976,-0.11608632653951645,0.034153684973716736,0.9012176990509033,-0.08564116060733795,0.027912914752960205,1.0375841856002808,-0.11456982046365738,0.03280404582619667,1.1339048147201538,-0.13310642540454865,0.04144382104277611,1.198588490486145,-0.14222681522369385,-0.0011256118305027485,0.8858370184898376,-0.06177427992224693,-0.007646236103028059,1.0165938138961792,-0.08001688867807388,0.0040365466848015785,1.1091634035110474,-0.08650633692741394,0.022130899131298065,1.1665825843811035,-0.09094419330358505,-0.02018630877137184,0.8733453154563904,-0.039282046258449554,-0.026749853044748306,0.9866840243339539,-0.05757485702633858,-0.009268044494092464,1.0658981800079346,-0.06479207426309586,0.006838981062173843,1.1177427768707275,-0.06792671978473663,-0.029457595199346542,0.8633427619934082,-0.0191817507147789,-0.035970911383628845,0.9624709486961365,-0.033604297786951065,-0.024837255477905273,1.0228455066680908,-0.036841608583927155,-0.01052901428192854,1.0603488683700562,-0.03723050281405449
15,00:00:500,,0.0780654028058052,0.6942825317382812,6.133287655529784e-08,0.1257319450378418,0.7470324635505676,-0.04766564443707466,0.14253702759742737,0.8605413436889648,-0.0645177811384201,0.14298278093338013,0.9675840139389038,-0.06982582807540894,0.14366021752357483,1.048717975616455,-0.07172679156064987,0.04672936350107193,0.9082783460617065,-0.052684228867292404,0.038730688393116,1.0344351530075073,-0.06495562195777893,0.04547494277358055,1.1104755401611328,-0.07434207201004028,0.05290577933192253,1.1616052389144897,-0.0798625573515892,0.011583060026168823,0.8967167139053345,-0.029655035585165024,-0.002808183431625366,1.01526939868927,-0.03811151534318924,0.00044805556535720825,1.0890898704528809,-0.04221116006374359,0.007670599967241287,1.142570972442627,-0.045339446514844894,-0.0046533942222595215,0.8830381035804749,-0.009099537506699562,-0.019466310739517212,0.9859033226966858,-0.019058074802160263,-0.01826252043247223,1.0530853271484375,-0.0225775558501482,-0.013261798769235611,1.1091976165771484,-0.023630229756236076,-0.00884009525179863,0.8722206354141235,0.008424967527389526,-0.026856116950511932,0.9616345763206482,-0.001765207969583571,-0.02884286642074585,1.0219558477401733,-0.005330457352101803,-0.027103282511234283,1.0757412910461426,-0.005963178351521492
