frame_idx,timestamp,gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0,00:00:000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00:00:033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,00:00:066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,00:00:100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,00:00:133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,00:00:167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,00:00:200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,00:00:234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,00:00:267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,00:00:301,,0.2601788640022278,0.8266355991363525,3.1685016210758477e-07,0.30915844440460205,0.7683205604553223,-0.06104927882552147,0.33932119607925415,0.6862397193908691,-0.09635546058416367,0.34554070234298706,0.624954342842102,-0.1253436803817749,0.3328053653240204,0.5781092643737793,-0.15427756309509277,0.26346057653427124,0.5240103602409363,-0.06512976437807083,0.25332871079444885,0.45585864782333374,-0.10394177585840225,0.2593076229095459,0.43410977721214294,-0.1367161124944687,0.26823002099990845,0.4221157729625702,-0.15945294499397278,0.21067334711551666,0.5469732880592346,-0.05590082332491875,0.18727821111679077,0.4727562367916107,-0.09338743984699249,0.18734706938266754,0.443480908870697,-0.12559884786605835,0.19513820111751556,0.4277157187461853,-0.14854411780834198,0.166535422205925,0.5987691283226013,-0.05277248099446297,0.13648948073387146,0.5291727185249329,-0.08624626696109772,0.13090813159942627,0.4922977089881897,-0.11194048076868057,0.13486678898334503,0.4693141281604767,-0.12946458160877228,0.13514310121536255,0.6719405651092529,-0.05435270071029663,0.10227247327566147,0.6225460171699524,-0.082131028175354,0.08987754583358765,0.5946654081344604,-0.09873645752668381,0.0869886726140976,0.5718942284584045,-0.11042562872171402
10,00:00:334,,0.3026914894580841,0.7723675966262817,4.482497217850323e-07,0.34692296385765076,0.6908820867538452,-0.041794516146183014,0.3674478530883789,0.6067051291465759,-0.06748718023300171,0.3724234104156494,0.5447589159011841,-0.09181822836399078,0.37476101517677307,0.48057684302330017,-0.11745543777942657,0.30420538783073425,0.47510337829589844,-0.04404310882091522,0.3005159795284271,0.40026378631591797,-0.08328303694725037,0.30846166610717773,0.3635329604148865,-0.11604896187782288,0.3234391510486603,0.32525351643562317,-0.13902640342712402,0.26099905371665955,0.49682360887527466,-0.04501200094819069,0.24050267040729523,0.4133654236793518,-0.07842445373535156,0.23807530105113983,0.3688003420829773,-0.10729991644620895,0.24515897035598755,0.3209182620048523,-0.13005943596363068,0.22589421272277832,0.5500280261039734,-0.05195578560233116,0.19193749129772186,0.48370760679244995,-0.08553308993577957,0.17807547748088837,0.44601351022720337,-0.10950338840484619,0.17730781435966492,0.40841853618621826,-0.1269368678331375,0.20012064278125763,0.6283782124519348,-0.06255630403757095,0.16561567783355713,0.5806630849838257,-0.09144943207502365,0.14575502276420593,0.5465421080589294,-0.10874830931425095,0.1337144374847412,0.5088751316070557,-0.122124582529068
11,00:00:368,,0.32842129468917847,0.6904398202896118,4.430520164078189e-07,0.3733457326889038,0.6189058423042297,-0.030082544311881065,0.3961043953895569,0.5405158996582031,-0.05005801096558571,0.4035429060459137,0.4755806624889374,-0.06921541690826416,0.4106258153915405,0.4127851128578186,-0.08980634063482285,0.3445374667644501,0.4265265464782715,-0.038646724075078964,0.34490305185317993,0.3433329463005066,-0.06962850689888,0.35233330726623535,0.2944566011428833,-0.09414107352495193,0.3628824055194855,0.24586620926856995,-0.11121781915426254,0.3051472306251526,0.4326842427253723,-0.04200628772377968,0.28812485933303833,0.34271490573883057,-0.06828327476978302,0.2855836749076843,0.2806929349899292,-0.08807513117790222,0.28834307193756104,0.22553664445877075,-0.10305316001176834,0.2727382183074951,0.47080445289611816,-0.04936518520116806,0.24388134479522705,0.38997742533683777,-0.07580442726612091,0.2328905165195465,0.3285975456237793,-0.09299426525831223,0.22976085543632507,0.271489679813385,-0.10530814528465271,0.24863162636756897,0.5336692929267883,-0.05916949361562729,0.2149653434753418,0.4874749481678009,-0.0851605087518692,0.19338276982307434,0.4497523903846741,-0.09819421172142029,0.1761564165353775,0.411784291267395,-0.10671021044254303
