frame_idx,timestamp,gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0,00:00:000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00:00:033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,00:00:066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,00:00:100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,00:00:133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,00:00:166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,00:00:200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,00:00:233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,00:00:266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,00:00:300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,00:00:333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,00:00:366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,00:00:400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,00:00:433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,00:00:466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,00:00:500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,00:00:533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,00:00:566,,0.0941295474767685,0.691141664981842,-5.2662613825305016e-08,0.05777795985341072,0.6678357124328613,-0.0573076494038105,0.015923243016004562,0.687991738319397,-0.08529796451330185,-0.008655477315187454,0.7386311292648315,-0.10755547136068344,-0.016942139714956284,0.8036788702011108,-0.12864427268505096,-0.026963897049427032,0.8395810127258301,-0.046309661120176315,-0.04316363111138344,0.9256546497344971,-0.08494355529546738,-0.016199301928281784,0.9338322877883911,-0.11452100425958633,0.012366421520709991,0.9165254831314087,-0.13016949594020844,-0.0004775002598762512,0.8873449563980103,-0.03201786428689957,-0.01074470579624176,0.9742705821990967,-0.07044964283704758,0.022573120892047882,0.9663963317871094,-0.0947641134262085,0.051389019936323166,0.9306145310401917,-0.1055268719792366,0.029663681983947754,0.9129859209060669,-0.024559643119573593,0.021912895143032074,0.9936543703079224,-0.06032067537307739,0.04883391782641411,0.9900034070014954,-0.07407047599554062,0.07604728639125824,0.9559502601623535,-0.07617095112800598,0.06148121878504753,0.9247161746025085,-0.021824918687343597,0.05950933322310448,0.9959076642990112,-0.04875382035970688,0.07435411214828491,0.9942874908447266,-0.05743960291147232,0.09100101888179779,0.9677947163581848,-0.058425139635801315
18,00:00:600,,0.11289484798908234,0.6486577391624451,-3.1941570455273904e-07,0.07486879825592041,0.6245290637016296,-0.0409792922437191,0.029953155666589737,0.6427459120750427,-0.06224055588245392,0.014542059041559696,0.6938099265098572,-0.08139774948358536,0.018138563260436058,0.7566407918930054,-0.09855704754590988,-0.0005081482231616974,0.78555828332901,-0.03236568719148636,-0.022610366344451904,0.8578981757164001,-0.06970162689685822,0.004351241514086723,0.8545523285865784,-0.097359798848629,0.03505859151482582,0.83038330078125,-0.11114316433668137,0.03338336572051048,0.8313033580780029,-0.02698507532477379,0.015166359953582287,0.9080525040626526,-0.0646648183465004,0.05061504989862442,0.8871989846229553,-0.08755577355623245,0.07786525785923004,0.8488667011260986,-0.09661038219928741,0.06738278269767761,0.8590555191040039,-0.02743244357407093,0.05237619951367378,0.9361997246742249,-0.05961062014102936,0.0822213664650917,0.9176381826400757,-0.07256927341222763,0.10713959485292435,0.8770850896835327,-0.0744180753827095,0.10134831815958023,0.8683027625083923,-0.031402379274368286,0.09908845275640488,0.935273289680481,-0.05331584811210632,0.1142425611615181,0.9267914295196533,-0.060329824686050415,0.1263647973537445,0.8990572690963745,-0.06084039434790611
