frame_idx,timestamp,gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0,00:00:000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00:00:033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,00:00:067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,00:00:100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,00:00:134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,00:00:167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,00:00:201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,00:00:234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,00:00:268,,0.5676271915435791,0.6961427330970764,-2.4356461381103145e-07,0.5374239683151245,0.5507447719573975,-0.00037704629357904196,0.46941545605659485,0.4752890169620514,-0.0017595546087250113,0.40601831674575806,0.5057482719421387,-0.0033233200665563345,0.3788551986217499,0.5830914378166199,-0.006299188826233149,0.3985980451107025,0.5067312717437744,-0.00741236237809062,0.34700652956962585,0.5703201293945312,-0.008884948678314686,0.3716505169868469,0.5951830148696899,-0.008848244324326515,0.4042014181613922,0.5964352488517761,-0.009130681864917278,0.3880743980407715,0.6018307209014893,-0.011178677901625633,0.3478579819202423,0.6679648756980896,-0.008706079795956612,0.376079261302948,0.6793957948684692,-0.006753156427294016,0.4092545807361603,0.6675779223442078,-0.00864570401608944,0.3904094398021698,0.6990386843681335,-0.013622384518384933,0.3499773144721985,0.7471387386322021,-0.01373752299696207,0.379876047372818,0.7485785484313965,-0.007825598120689392,0.4127957820892334,0.7304980158805847,-0.006558423396199942,0.40033453702926636,0.7914974689483643,-0.01561708189547062,0.3630530834197998,0.8125280141830444,-0.015959450975060463,0.3910561501979828,0.8099075555801392,-0.005169215612113476,0.41975000500679016,0.7956990003585815,0.0029695266857743263
9,00:00:301,,0.5196892023086548,0.7313381433486938,-2.1565817576174595e-07,0.4884340465068817,0.6065077185630798,-0.003224746324121952,0.425515353679657,0.5463618636131287,-0.013437395915389061,0.3759748637676239,0.5870238542556763,-0.02460918389260769,0.35218241810798645,0.6627194881439209,-0.03827971592545509,0.3622643053531647,0.5622283816337585,-0.024047749117016792,0.3248059153556824,0.6208187341690063,-0.03669183328747749,0.3546781539916992,0.6406172513961792,-0.04891851916909218,0.38368919491767883,0.6333348751068115,-0.05874234810471535,0.35388678312301636,0.6512585282325745,-0.032687533646821976,0.321860671043396,0.703319787979126,-0.03701787069439888,0.351365864276886,0.7115795612335205,-0.03929785639047623,0.3821144700050354,0.7012349963188171,-0.045218732208013535,0.3607158362865448,0.7486118078231812,-0.040103480219841,0.3258075714111328,0.7906683683395386,-0.044471632689237595,0.356904000043869,0.7901447415351868,-0.0386035181581974,0.38642260432243347,0.7711948156356812,-0.03842390701174736,0.3747510313987732,0.83991539478302,-0.04742707684636116,0.34650540351867676,0.8684108853340149,-0.04947656765580177,0.3732934594154358,0.8615977764129639,-0.037826888263225555,0.39844071865081787,0.8458057641983032,-0.03049147129058838
10,00:00:335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,00:00:368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,00:00:402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,00:00:435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,00:00:469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
