frame_idx,timestamp,gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0,00:00:000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00:00:033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,00:00:067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,00:00:100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,00:00:134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,00:00:167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,00:00:201,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,00:00:234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,00:00:268,0,0.5676271915435791,0.6961427330970764,-2.4356461381103145e-07,0.5374239683151245,0.5507447719573975,-0.000377046293579,0.4694154560565948,0.4752890169620514,-0.001759554608725,0.406018316745758,0.5057482719421387,-0.0033233200665563,0.3788551986217499,0.5830914378166199,-0.0062991888262331,0.3985980451107025,0.5067312717437744,-0.0074123623780906,0.3470065295696258,0.5703201293945312,-0.0088849486783146,0.3716505169868469,0.5951830148696899,-0.0088482443243265,0.4042014181613922,0.5964352488517761,-0.0091306818649172,0.3880743980407715,0.6018307209014893,-0.0111786779016256,0.3478579819202423,0.6679648756980896,-0.0087060797959566,0.376079261302948,0.6793957948684692,-0.006753156427294,0.4092545807361603,0.6675779223442078,-0.0086457040160894,0.3904094398021698,0.6990386843681335,-0.0136223845183849,0.3499773144721985,0.7471387386322021,-0.013737522996962,0.379876047372818,0.7485785484313965,-0.0078255981206893,0.4127957820892334,0.7304980158805847,-0.0065584233961999,0.4003345370292663,0.7914974689483643,-0.0156170818954706,0.3630530834197998,0.8125280141830444,-0.0159594509750604,0.3910561501979828,0.8099075555801392,-0.0051692156121134,0.4197500050067901,0.7956990003585815,0.0029695266857743
9,00:00:301,0,0.5408463478088379,0.7318042516708374,-9.158226532690605e-08,0.4949796497821808,0.6005879640579224,0.0027641612105071,0.4331576824188232,0.550077497959137,0.000393006572267,0.3869716823101043,0.5998930931091309,-0.0037936232984066,0.3641726076602936,0.6754201054573059,-0.0089476099237799,0.3740777373313904,0.5590810179710388,0.0069385436363518,0.3513219356536865,0.6215200424194336,-0.0019610486924648,0.3725613057613373,0.6482495665550232,-0.0148232160136103,0.3995529413223266,0.6447998881340027,-0.0231723375618457,0.3523993492126465,0.6469482779502869,8.97944628377445e-05,0.3320854902267456,0.6948803067207336,-0.00058656494366,0.3547363877296448,0.7149354219436646,-0.0064932852983474,0.3850768208503723,0.7081592679023743,-0.0116231758147478,0.3494726419448852,0.7426322102546692,-0.0064443233422935,0.3273588716983795,0.7863574028015137,-0.0065511357970535,0.355306327342987,0.7980459928512573,-0.0044556618668138,0.384640485048294,0.7813155055046082,-0.0047462140209972,0.3582687377929687,0.8345237374305725,-0.0129061676561832,0.3444609642028808,0.8679419755935669,-0.0144972465932369,0.3713191151618957,0.8701366782188416,-0.0068782358430325,0.3971942961215973,0.8552943468093872,0.0004715627292171
10,00:00:335,0,0.5073159337043762,0.7639837861061096,-1.7701771071187977e-07,0.4548735618591308,0.7162407636642456,0.0117495935410261,0.3955309391021728,0.6903505325317383,0.0120806461200118,0.3604269325733185,0.7041144371032715,0.0085100969299674,0.3466236591339111,0.7341046929359436,0.0036570986267179,0.3227904736995697,0.728672444820404,0.0128152910619974,0.3246167600154876,0.7400362491607666,0.0068648573942482,0.3523502349853515,0.7454885244369507,-0.0055986866354942,0.3762443363666534,0.7455610632896423,-0.0145298782736063,0.3159348666667938,0.7575811147689819,0.0022445505019277,0.3228558301925659,0.7605353593826294,0.0083395615220069,0.3484718203544616,0.761997401714325,0.0062447674572467,0.3733031451702118,0.7600714564323425,0.0010284121381118,0.3289779424667358,0.7853885889053345,-0.0073482319712638,0.3317703306674957,0.7904596924781799,-0.0006764700519852,0.3573943078517914,0.7862322330474854,0.0048144543543457,0.3805253207683563,0.7792484760284424,0.0047159008681774,0.3523963093757629,0.8075833916664124,-0.0167577639222145,0.3521010875701904,0.8180214166641235,-0.009356546215713,0.3726243078708648,0.8146100640296936,0.0027771457098424,0.3916561007499695,0.8103643655776978,0.0111813675612211
11,00:00:368,0,0.5110767483711243,0.7819061875343323,-2.335996782676375e-07,0.472920149564743,0.8550776243209839,0.0021457716356962,0.408570647239685,0.886733889579773,0.0030709190759807,0.3626582026481628,0.8741440176963806,0.0015560451429337,0.3416933119297027,0.8400204181671143,0.0025050323456525,0.3684540092945099,0.870017409324646,0.0123415030539035,0.3273307383060455,0.852792501449585,0.0044722962193191,0.3420317471027374,0.8480314016342163,-0.0035372439306229,0.3630960881710052,0.8439902067184448,-0.0072668497450649,0.3667466640472412,0.8255937695503235,0.007064551115036,0.321638286113739,0.8144086599349976,0.0026009134016931,0.3350953161716461,0.8122193813323975,-0.0014388820854946,0.3593430817127228,0.8124359250068665,-0.0026774229481816,0.3720332384109497,0.7757147550582886,0.00064394477522,0.3270435333251953,0.7783423066139221,-0.0005124586750753,0.3389177024364471,0.7797427177429199,0.0031716274097561,0.3610697984695434,0.7800531983375549,0.006361411884427,0.3820200264453888,0.7252671122550964,-0.0063053178600966,0.3424057364463806,0.7316598296165466,-0.0031445403583347,0.3488064706325531,0.7425084114074707,0.0048785619437694,0.3654895722866058,0.7462422251701355,0.0115565136075019
12,00:00:402,0,0.5252555012702942,0.8244770765304565,2.9024910475072833e-08,0.4758239090442657,0.7492730617523193,0.0011194251710548,0.4142085313796997,0.729904294013977,0.0048567135818302,0.3724588751792907,0.7462170124053955,0.0074948067776858,0.3546008169651031,0.7650139331817627,0.0121250506490468,0.3746078014373779,0.8413726091384888,0.0173959173262119,0.3348543047904968,0.8313016295433044,0.0166155956685543,0.3381140530109405,0.8060222864151001,0.0114242127165198,0.3506141602993011,0.7941190004348755,0.0083253569900989,0.3816059529781341,0.8931658864021301,0.0163630433380603,0.3434143364429474,0.875117838382721,0.0190927516669034,0.3461525738239288,0.846386194229126,0.0138511657714843,0.3601085543632507,0.8328555822372437,0.0095541309565305,0.3937934339046478,0.9324272871017456,0.0148933697491884,0.3553577959537506,0.9140653014183044,0.0189188476651906,0.3551673591136932,0.8850253224372864,0.0194187704473733,0.366439551115036,0.8707727193832397,0.0187011584639549,0.406979501247406,0.9592762589454652,0.0131742544472217,0.3684928119182586,0.9480357766151428,0.0183698181062936,0.3664974570274353,0.926121473312378,0.0245693307369947,0.3748742043972015,0.9130162000656128,0.0294635146856308
13,00:00:435,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,00:00:469,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,00:00:502,0,0.3198287785053253,0.8161824345588684,-5.4917077108029844e-08,0.3680799305438995,0.7801860570907593,-0.0441448129713535,0.4203774929046631,0.7970815896987915,-0.0790683105587959,0.4593151211738586,0.8508234620094299,-0.1014394387602806,0.4970268607139587,0.9009543657302856,-0.1227385550737381,0.3625766932964325,0.7717489004135132,-0.1369248032569885,0.4430058598518371,0.8895564675331116,-0.1744917631149292,0.4896402657032013,0.9429901242256165,-0.1817849278450012,0.5205608606338501,0.979514181613922,-0.1819076538085937,0.3288203477859497,0.8351452350616455,-0.1258390396833419,0.4169899523258209,0.9669468402862548,-0.1604135483503341,0.4683054387569427,1.0047667026519775,-0.1561710834503173,0.4947080910205841,1.020487666130066,-0.1512334644794464,0.3098313808441162,0.9031941890716552,-0.1124734878540039,0.3948934972286224,1.0136135816574097,-0.1399146169424057,0.4397206008434295,1.0355377197265625,-0.129343494772911,0.4627131223678589,1.0411041975021362,-0.1192911192774772,0.3031361103057861,0.9666460156440736,-0.1008763909339904,0.3696841895580292,1.0422732830047607,-0.1204841285943985,0.4074237942695617,1.058361291885376,-0.1155943498015403,0.4291259944438934,1.0589253902435305,-0.1101087555289268
16,00:00:536,0,0.3440253734588623,0.8090473413467407,1.791148775964757e-07,0.3890157043933868,0.7760988473892212,-0.0205809753388166,0.4412363469600677,0.7982050776481628,-0.0350601188838481,0.4787336587905884,0.8563231229782104,-0.042730439454317,0.4984048902988434,0.9103661775588988,-0.0483554080128669,0.408121258020401,0.8685499429702759,-0.0578905157744884,0.4653263986110687,0.950253963470459,-0.0722355619072914,0.4980399012565613,0.9726474285125732,-0.0735125839710235,0.5210294723510742,0.9771838188171388,-0.0714680254459381,0.3829203248023987,0.9186074137687684,-0.0513768009841442,0.4408091008663177,1.0051236152648926,-0.0603649653494358,0.4741156995296478,1.021533727645874,-0.0539674833416938,0.4942536652088165,1.0203046798706057,-0.0489105619490146,0.3633643388748169,0.954090654850006,-0.0439395271241664,0.4104570150375366,1.0411978960037231,-0.0507346764206886,0.439473032951355,1.058225393295288,-0.0415117554366588,0.4569986462593078,1.058268666267395,-0.0342299751937389,0.3495238423347473,0.9768215417861938,-0.0373139232397079,0.3821926712989807,1.047444462776184,-0.0441512465476989,0.4062805473804474,1.0692534446716309,-0.0392992310225963,0.424035906791687,1.07361102104187,-0.0337306149303913
17,00:00:569,0,0.3642457723617553,0.8447064161300659,4.913703222086952e-08,0.4110921025276184,0.820083498954773,-0.0225362572818994,0.4598956108093261,0.8442916870117188,-0.0318143852055072,0.4939144551753998,0.8944637179374695,-0.0366054400801658,0.520634651184082,0.941272497177124,-0.0388239361345768,0.4507758021354675,0.9471473097801208,-0.0178355202078819,0.4891485571861267,0.991615891456604,-0.0269627515226602,0.5168814063072205,0.9981263279914856,-0.0346684828400611,0.5352484583854675,0.998298704624176,-0.0392256863415241,0.4278149008750915,0.986340582370758,-0.0107315527275204,0.4603520333766937,1.0373616218566897,-0.0138776442036032,0.4867535829544067,1.0498664379119873,-0.0163793619722127,0.5035966038703918,1.053512692451477,-0.0191926807165145,0.4066004157066345,1.006773829460144,-0.0060897474177181,0.4331189095973968,1.0615986585617063,-0.0115859536454081,0.4571595191955566,1.0756419897079468,-0.0105378441512584,0.4739842414855957,1.08262836933136,-0.0096984300762414,0.3869306743144989,1.017285943031311,-0.0032551190815865,0.4081655144691467,1.0686922073364258,-0.0101598743349313,0.4267876148223877,1.0862663984298706,-0.0093407128006219,0.4410228133201599,1.0978271961212158,-0.0074137495830655
18,00:00:603,0,0.3664548397064209,0.8891787528991699,1.4179839524786078e-07,0.4115428328514099,0.8580130338668823,-0.021930992603302,0.461713433265686,0.8844963312149048,-0.0284940060228109,0.4960384666919708,0.929768204689026,-0.0310121513903141,0.5227547883987427,0.9690071940422058,-0.0314758494496345,0.4510960280895233,0.9837862253189088,-0.0101785063743591,0.4826527833938598,1.033896803855896,-0.0146693680435419,0.505567193031311,1.0539110898971558,-0.0206715539097785,0.5237317681312561,1.0656853914260864,-0.0247677434235811,0.4311452805995941,1.014652132987976,-0.0020445543341338,0.4585191309452057,1.0703649520874023,-0.0012808644678443,0.4823206067085266,1.096178412437439,-0.0041531710885465,0.4991125464439392,1.1139565706253052,-0.0074577624909579,0.4111329913139343,1.0313047170639038,0.0036983429454267,0.4352613091468811,1.0856612920761108,0.0026285657659173,0.4570959210395813,1.111678123474121,0.0034686580765992,0.4737016260623932,1.1330939531326294,0.0034714310895651,0.3914584815502167,1.0387170314788818,0.0073479902930557,0.4092406332492828,1.0861486196517944,0.0053345500491559,0.4257658421993255,1.1096678972244265,0.0073755756020545,0.43897145986557,1.1296323537826538,0.009277225472033
19,00:00:636,0,0.3707347214221954,0.9098030924797058,1.5086109783624124e-07,0.4113094806671142,0.8850069642066956,-0.0193516761064529,0.4572755694389343,0.916845977306366,-0.0237823370844125,0.4904005527496338,0.9567935466766356,-0.0249734781682491,0.5176578164100647,0.9873848557472228,-0.0246360898017883,0.4399449229240417,0.9941124320030212,-0.006862826179713,0.4683010280132293,1.050672173500061,-0.008453955873847,0.4888232350349426,1.081147313117981,-0.0110062360763549,0.5041081309318542,1.1001216173171997,-0.0126727996394038,0.4222082197666168,1.0237553119659424,0.0007714522653259,0.4496329426765442,1.0824172496795654,0.0035921211820095,0.4717772006988525,1.1108793020248413,0.0025789237115532,0.4870480597019195,1.130954027175903,0.0006674889591522,0.4059767425060272,1.0435112714767456,0.0063101607374846,0.4306659400463104,1.100961685180664,0.0069733411073684,0.4510816931724548,1.1262245178222656,0.0083799483254551,0.4663605690002441,1.1468642950057983,0.0089092208072543,0.3919110298156738,1.0555840730667114,0.0100082317367196,0.4102493822574615,1.1064515113830566,0.0095517104491591,0.4255688786506653,1.1312406063079834,0.0119471102952957,0.4370454847812652,1.1496694087982178,0.0139004159718751
20,00:00:670,0,0.3674964308738708,0.925827145576477,2.0741575568195003e-08,0.4058063924312591,0.9001933336257935,-0.0186610072851181,0.4518265128135681,0.9303737878799438,-0.0228127166628837,0.487472265958786,0.9654667973518372,-0.0235525146126747,0.5170059204101562,0.9815941452980042,-0.0224966946989297,0.4361992478370666,0.987945020198822,-0.0074576120823621,0.4712381362915039,1.0317811965942385,-0.0106989126652479,0.4945211410522461,1.0493568181991575,-0.013795742765069,0.511317789554596,1.0562386512756348,-0.0153160588815808,0.424467533826828,1.017462134361267,0.0007074454333633,0.4586564004421234,1.062178611755371,0.0017172498628497,0.4837052226066589,1.076828956604004,0.0004102543753106,0.5015670657157898,1.0831124782562256,-0.0010655365185812,0.4134461283683777,1.0372896194458008,0.0067810504697263,0.4458703100681305,1.0799000263214111,0.0055182627402246,0.4692480266094208,1.090895175933838,0.005344022065401,0.4872722625732422,1.0975382328033447,0.0052943592891097,0.4039870798587799,1.0499169826507568,0.0113533306866884,0.4281814694404602,1.08879554271698,0.0092532858252525,0.4467461407184601,1.1022213697433472,0.0095939608290791,0.4613465368747711,1.110659122467041,0.0103396354243159
